,reviewed_at,helpful,content,review_heading,rating,images,review_id,country,year,season,RT,zone,found_helpful
10,2020-10-10,26,"There are cheaper non-amazon brands out there and the price is huge for the hard reality that Amazon is just gaining more of your privacy. Product will only work with an amazon account, which you will need to create and it obligates you to add a payment method. In other words you are forced to be attached to amazon if you are just looking to use something like Netflix. Clearly your privacy options are gone once you sign those T&C's.",Expect to be attached to Amazon and add payment methods just to stream Netflix.,2,,R1OBFLUCVTRD51,UK,2020,autumn,Negative,Europe,True
11,2018-09-13,103,"First time ordering a bed set online, but they feel so great! They have been through a few washes and hasn't faded or got ruined. The cotton also hasn't been ruined by the dryer. Very cozy. They stay fresh all night.",Great set for a great price!,5,https://images-na.ssl-images-amazon.com/images/I/61OYOM-9p4L._SY88.jpg,R1ULL0XDLPPUZL,USA,2018,summer,Positive,North-America,True
12,2020-10-22,15,"Seldom watch T/V but with the nights drawing in and the current situation felt I might have to! Therefore, for £30 decided to update my eight year old Sony Bravia KDL Model that no longer had the energy or capability to support iPlayer, You Tube etc. Installation, took less than 15 minutes, very easy. Then, the updates since manufacture loaded, and the bar made its progress across the screen and 'Wallah' my television was transformed! Picture quality and sound, brilliant. Still won't be watching much television, but for 'You Tube' it will be great. Money well spent and 'Alexa' too very useful when you're looking for something in particular. Highly recommended.","Transformed my eight year old Sony, Bravia KDL Model.",5,,R2OOD3VZZXNQX2,UK,2020,autumn,Positive,Europe,True
13,2018-09-16,80,"Had a lot of lint after the first wash. Thought maybe I had something in the wash with it that caused it (although in hindsight, I realize I washed it alone). It’s going on the trash. It’s only gotten worse. The stuffing seems to be coming out in the seams and it even has some tears. Horrible quality.",Terrible quality,1,,R2MT1J6I7IIQ3M,USA,2018,summer,Negative,North-America,True
14,2020-11-11,12,"I haven't given any stars for Alexa integration, for the simple reason that I haven't used it. Can't be bothered with all this newfangled voice control stuff. That's why I went with the Lite version in the first place - why pay for a bunch of bells and whistles I'm not going to use?As for the rest, though, I have no complaints. It was very simple and straightforward to set up and use. The stick is designed to plug into a spare HDMI port on the TV, but wouldn't fit due to a plug in the adjacent port. Fortunately they've allowed for this eventuality by including a short HDMI extension lead, and that did the trick.After that, all I had to do was follow the on-screen instructions to link it to my wi-fi and then my streaming accounts. That was slightly time-consuming due to having to enter all the various passwords and authorization codes, but once it's done it's done and I can watch to my heart's content.The picture quality's fine and I've had no problems. Watching Netflix and Amazon Prime shows via the Fire stick is an improvement from watching via Virgin, because there's no frame-rate incompatibility, so no motion judder.If a programme is left in pause for too long the screen will revert to a photo slideshow, but pressing the ""U-turn"" button will take you back to the Resume option.As for the remote, it's much smaller and lighter than those for my TV, Blu-ray, etc., but the controls are simple and intuitive. My only minor quibble is that using the up/down/left/right buttons to search through menus can make my finger a bit sore (and yes, that wouldn't happen with Alexa, but then my throat might get sore!)Given its small size and cheapness this gadget punches way above its weight and I have no hesitation in recommending it. (And yes, iPlayer and BritBox are indeed available!)",Simplicity itself,5,,R27VJBY3W0RMZH,UK,2020,autumn,Positive,Europe,True
15,2015-06-14,180,"we picked up this two years ago, first the good. upon arrival the comforter was well made, no stray threads or any other quality issues. the coloring is good, uniform and stands up well to cleaning. it is medium weight but does an exceptional job holding in warmth. on a cold winter night it certainly does the job. as to fit it is just as expected no issues there at all.the not so good (mostly due to us). a couple times a year we'd throw it into the washer and had no problems (nearest dry cleaner is a 60 mile round trip). but with time things happen. the last time it was washed, a few months back we noticed some of the quilted threads had started to come loose and pop up. it was only a few no big deal but now unfortunately a lot more of those cross threads are coming loose. again it is just over two years old and it wasn't all that costly so I really can't complain.all said it still looks good but I don't expect to be able to wash this again without it coming apart even more so. we'll keep it til summer which will be the three year mark and then get a replacement. that replacement will be the same as we genuinely have been happy with this the entire time we've had it in use.caveat, dry cleaning would make it last much longer however when factoring the cost to have that done versus replacement after three years it really made no financial sense to go that route.","Updated 1/9/2019 after two plus years use and,..",5,,R3O5YVXR9WQTCX,USA,2015,spring,Positive,North-America,True
16,2018-07-09,56,"It came apart right away, the insides filling material started to come out. Regret buying, first time I buy a bad product in Amazon, I order every month for.many years",first time I buy a bad product in Amazon,1,,R7EZGO5BNEN88,USA,2018,summer,Negative,North-America,True
17,2018-07-22,44,"I bought this comforter in the Taupe color - it is a teeny bit more brown than the picture shows (at least on my computer monitor), but it still matches my bedroom decor really well so I'm keeping it! It is super soft when you run your hand over it and it is super plush - I have not been able to get my cats off of it since I put it on the bed two days ago. I have a full-sized mattress and it covers it evenly, without being too long on any side (I DO fold it down about a foot and a half, which keeps it from touching the floor at the end of the bed). One thing I have noticed is that it gets a bit warm, but it is perfect if you have a/c running. I imagine that this will be perfect in the winter, and I won't need to pile additional blankets on it to compensate.Overall, I'm very pleased with my purchase!UPDATE:I have had this for a week now, and one thing I noticed was a defect with a lot of extra string along one of the seams of a few the comforter squares. To keep my cats from getting caught in or chewing on the string, I had to cut it, which ended up opening that seam.  So the squares are now connected, but so far it hasn't made any difference, and I don't think it will in the long run. I contacted the company anyway and they replied quickly and told me to get in touch with them immediately if it causes any issues, so I am keeping my 5 star rating for their fast reply and promise of service.Otherwise, I'm still happy with it, and very glad I purchased it.","Very Soft, Very Plush, Very Comfortable!",5,,R1QPPEBHHUEKHF,USA,2018,summer,Positive,North-America,True
18,2019-04-25,30,I bought 2 of these for my sons room. One red & the other dark blue/navy. They’re very soft  & washed up nicely. Much better than expected. My boys love them. I was looking for the perfect red for my son! The red is brighter than pictured which is what I was hoping for. He’s very happy with it!,So soft & comfortable!,5,https://images-na.ssl-images-amazon.com/images/I/71kXx34-DwL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71nTeL8w16L._SY88.jpg,R2KNP9WEQ6N9FK,USA,2019,spring,Positive,North-America,True
19,2019-04-28,20,I was searching for an inexpensive comforter set for our guest room. This set fits the bill!  It's very soft and light weight.  I got the taupe in twin size.  The color looks just like it does on my computer monitor.  The pillow sham that comes with the comforter has a flanged edge.  I tried using it on my bed the same way it's shown in the picture.  The flanged edge wouldn't stand up though because the fabric isn't stiff enough.  I ended up turning the sham inside out (so the flange doesn't show) before I put my pillow in it.  The fabric is exactly the same on both sides so I was able to do this.  I think it looks better that way.  The comforter comes in a vacuum sealed package and looks very flat when you first open it up.  I put it in the dryer (on low heat) for 20 minutes before putting it on my bed. It fluffed up nicely! It did look a little wrinkled (even after coming out of the dryer) so I ironed it on low heat without even taking it off the bed.  I haven't washed it yet.  When I do I will take it to the laundromat and wash it in a large capacity washer.  I think the people that had problems with it probably put it in their home washer and it got caught on the agitator.,Very good value!!!,5,https://images-na.ssl-images-amazon.com/images/I/416OoFb598L._SY88.jpg,R3PVTRV208BGL9,USA,2019,spring,Positive,North-America,True
20,2021-06-09,20,"Bought this mainly as a screen for my Ring doorbell so when door rings we can see who is there.  Unfortunately although it kind of works it only stays on the screen for about 20 secs, which is just after I generally get to the door.  Furthermore if you then ask Alexa to show the front door camera it takes another 10 seconds before the image appears, by which time the visitor has already gone home.  Without the ability to change the amount of time the screen stays on after the doorbell, is rung this is as useful as an inflatable dartboard.Other than that the Echo show is painfully slow to react and this is simply not good enough for anyone who owns a modern mobile phone or tablet.  Its a shame as it has potential.  On the positive - sound and screen quality are good.",Dissapointed - Not Great when connected to Ring Doorbell,2,,R2ZU7BTBKE1JEC,UK,2021,spring,Negative,Europe,True
21,2021-06-14,19,The device is advertised as an Echo Show with Home Monitoring facility through the on-board camera. This does not work as there is a known fault with this particular product. Not just mine but all Echo Show 5 (2nd Gen). Based on my experience and the amount of time wasted over the telephone I cannot honestly recommend this product.,NO Home Monitoring,1,,R2X7LC96W0QPAO,UK,2021,spring,Negative,Europe,True
22,2021-06-15,18,"The Echo Show 5 2nd Gen is a great device, it's identical in design and build to the 1st Gen, but with a few different features. It has a newly upgraded camera with 2MP instead of 1MP, which means enhanced video call quality, it's now made from a climate friendly sustainable build using largely recycled materials and it also uses less power.So realistically it's pretty much the same great device it use to be with some minor modifications. It's a little bit more expensive but that's just the way marketing works to drive you onto the new device and it still works just aswell in terms of voice activation.I love the device, I love the ease of use, how well it works and the thousands of different skills you can enable to maximise your use of your smart home device. The Show 5 has a nice compact size, has a screen if you want to view video recipes, can set timers, can give you definitions or synonyms, can answer most questions, can play movies, can show you who is at your door, can show you your CCTV and can order your shopping if you want.The possibilities are endless and the device is really impressive. The volume capabilities are decent for the size of it and overall I'm very happy with the value for money. Sure there's not huge improvements on the 1st Gen device, but then the 1st Gen is a perfectly good smart home system that in my opinion didn't really need improved.Conclusion the same great device with some minor tweaks. Don't rush out to replace your existing Show 5 like I did though or you'll be disappointed.",Still a great device although changes between generations are minor,5,,R2NNPY62ZZUTG2,UK,2021,spring,Positive,Europe,True
23,2021-06-30,1,"I was at first hesitant to get this. But then once i had some new window screens put up to stop the dogs barking at shadows when people walk past the front door. I as wouldn't have been able to see out ruffly if someone was at the door. I do have camera active doorbell connected to my phone but found loading time can be a bit slow. So decided for security safety to get this as works with my cameras. so i can mount on the wall and be able to keep camera active during the day so i can see who is coming and going.unfortunately i have yet to figure out how to get the camera screen to activate on its own when the door bell rings.The screen is nice and clear and if i wanted to i could use the built in camera to check in from my phone using the echo camera. But i do have security cameras already set up, good for back up if one goes down.The speaker is brilliant and size , design is compact and light enough.Over all it is great buy!",fantastic,5,,R1ENK951IKDBXX,UK,2021,summer,Positive,Europe,True
24,2021-06-11,5,I  have never brought one of these before I was a bit sceptical at first I wasn't going to buy it I am so glad I did I am so happy with it the best thing I have ever brought the sound is awesome thank you amazon very pleased with it well worth the money,Great purchase 👌,5,https://images-na.ssl-images-amazon.com/images/I/C1foffe4DOS._SY88.jpg,RLTYBANSWST4W,UK,2021,spring,Positive,Europe,True
25,2021-06-15,3,Item was well packed and easy to set up - Alexa app already installed on phone so it paired very easily.Normal Alexa functions.Might just be me but photos are not full screen but centred in the middle of the screen.Powerful speaker.,Great item,5,,R2MID1C98MF4HQ,UK,2021,spring,Positive,Europe,True
26,2021-07-05,0,"Very pleased, not quite as easy to set up as I thought. Pairing it with my Sony music system proved to be rather problematic.I found it much easier doing it via the pulldown menu on the screen and it worked perfectly (pairing). It’s quite nice having it as a digital picture frame, also constant updates especially weather is very useful. I’m sick of shouting Alexa, so I know call it computer!","Great piece of kit, tricky pairing!",5,,R378V450G7DUHN,UK,2021,summer,Positive,Europe,False
27,2021-06-24,1,"Great little thing, can’t see much difference though between 1st and second gen, only camera a bit better, not really worth paying the extra, but then again I love my Amazon products so still very pleased with it",Not much different to first gen,5,,R3ACJYQ06O195L,UK,2021,summer,Positive,Europe,True
28,2021-06-16,2,bought this to be able to view my ring doorbell camera so far so good take your time to play with features to get best from it,reasonably easy to set up,5,,R2KCCKR1KBHPXU,UK,2021,spring,Positive,Europe,True
29,2021-06-13,2,Good device but room for improvement on the clock display settings,Happy customer,4,,RDS89C7UKMYV2,UK,2021,spring,Positive,Europe,True
30,2021-06-14,1,"Easy to set up, looks good, sound quality great",Echo Show,5,,RCHXCZM8BURPS,UK,2021,spring,Positive,Europe,True
31,2021-06-30,0,"Great piece of kit. Sound quality excellent. Stylish displey, very clear screen and ideal size. Lots of great features. Love the security camera. Great value.",Great features and ease of use for great value item.,5,https://images-na.ssl-images-amazon.com/images/I/81U4Cwj7DBL._SY88.jpg,R1GZ7AB0EMG6E7,UK,2021,summer,Positive,Europe,False
32,2021-06-18,0,"This is definitely an improvement over the last model, improved sound good base gives you great music with prime.",Sound quality,5,,R1NNY0REL9ZHS1,UK,2021,spring,Positive,Europe,False
33,2021-07-01,0,"Does everything they said, when I work out how to set the music it wakes me up with the fifth star will be given",Michael's review,4,,R3UVP3KFCQ01EV,UK,2021,summer,Positive,Europe,False
34,2021-06-18,0,"The UI is a bit sluggish, and either has some usability issues or is a bit buggy. I can't get the clock display I want, or it offers, so I have to ask Alexa the time.",Not good as a bedside clock,3,,R2GH5B3JTNZ0EC,UK,2021,spring,Neutral,Europe,False
35,2021-07-01,0,"The idea is great but a little small for me,saved up and got the show 10 which is excellent",A little small for me,3,,R3R0AGWMA5UKQ4,UK,2021,summer,Neutral,Europe,False
36,2021-06-23,0,Reasonable product but no outputs and smaller than expected however the integration and personal organisations are good,Small yet useful,4,,R2AXUSI1KHO5TW,UK,2021,summer,Positive,Europe,False
37,2021-06-23,0,would have been 5 stars but this version comes without a plug at the back to enable connection to sound systems/earphones/better speakers. I was very disappointed!It does have Bluetooth and younger generations may have all their gadgets Bluetooth enabled - I don't.,would have been 5 stars but this version has no jack plug,4,,R2R1IHLPEGC71B,UK,2021,summer,Positive,Europe,False
38,2021-06-29,0,"Worked out of the box and connected directly to my account A+Great screen, easy to navigate and setup",Worked out of the box and connected directly to my account A+,5,,R3DIIZ9FWAX5VD,UK,2021,summer,Positive,Europe,False
39,2021-06-22,0,Love the sound. Bit of a faf to put you photos on at first now good the hang of it really pleased would highly recommend,Very good,5,,R1G2U0VTA5PW0M,UK,2021,summer,Positive,Europe,False
40,2019-08-09,17,"I feel like, even though it is stated far enough down in the description that this only contains a blanket and one pillowcase, that this is false advertising. It is advertised as a ""set"" and most people in the market for a bed set assume that means a fitted sheet, a flat sheet, and a pillowcase, at the minimum. While this is predominantly advertising a comforter/blanket, it still uses the word ""set"" and features a fully made up bed. After shopping for hours for what I wanted, the reason I bought this was because I thought I was getting a complete set of blanket and sheets. Technically, that's my fault and my brain and eyes' fault for being so focused on a ""set"" but still.....I feel like surely others were conned into thinking that, too? Anyways.....aside from THAT huge disappointment.....I bought Cypress green and it is an army green which I like, but not as rich/bright as the product page photo. It is more muted/drab. The fabric is soft enough, the pillowcase is pretty thin, and the overall stitching on both the pillowcase and comforter looks like it won't last long before unraveling. There were stray threads everywhere, some were of the same color, some appeared to come from other products (red, blue, etc). The blanket is lightweight with minimal stuffing when you live in the mountains and are used to high loft down comforters of equal weight. I don't know....I just don't have a very positive first impression of this ""set"" for the price. I haven't washed it or used it yet but I just don't have confidence in it's durability :(","Does NOT include sheet! Not a ""set""",3,https://images-na.ssl-images-amazon.com/images/I/71EWk8MmHJL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71K4VkmrU8L._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71X4UGg-qIL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71fTmg4DTUL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71uve5saWrL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/81A6LBc7S+L._SY88.jpg,R32XQ2985P4CIO,USA,2019,summer,Neutral,North-America,True
41,2020-03-05,7,"I’m so upset with this purchase. After mainly good reviews and comparing it to other comforters, I got this one in black. Well...it isn’t black. It’s grey. It looked black in the plastic but as soon as I took it out and laid it on my (actual) black sheets...nope. I emailed them but I am also reading that they have a really crappy return policy. I will fight them on this because anyone can see this isn’t black. Will update the review if if gets handled appropriately (i.e they take it back and send me another one without this ridiculous restocking fee). I’m wishing I would have gotten one of the other three that actually came with sheets and shams for the same or less price. The photos are of it fresh out of the bag (which plastic makes dark thinks look darker) and on my bed. First one is without a flash, second one the flash is on so you can really see the difference. The last one is of the shams sitting on some black towels I ordered from Amazon also.",Black? Nope. Awful!,1,https://images-na.ssl-images-amazon.com/images/I/71+7w23nZdL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/7138B5JxIlL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71Q9JDE4eJL._SY88.jpg ~ https://images-na.ssl-images-amazon.com/images/I/71x6iRM2I+L._SY88.jpg,R1SOKBA96XBQSH,USA,2020,winter,Negative,North-America,True
42,2020-09-19,5,"I loved the amount of positive reviews on this product which gave me confidence to purchase.  In particular, I was reading through them looking for how hot this comforter makes others feel as they sleep and found several mentions that people thought it was perfect.  Not too hot.  The comforter arrived almost a week earlier than estimated delivery, which was great!  I love the look of it and it has a really nice soft feel to it.  We went with the black in the oversized king size and it really looked nice on the bed (standard king), draping over the sides and end without touching the floor.  It quickly puffed up after unpacking and placing it on the bed (it comes vacuum sealed in a bag nice and small).Unfortunately for my wife and I, it just did not meet our expectations and was very hot to sleep under.  My wife, who is always cold, told me that she woke up sweating in the night and had moved it off of her.  I managed to sleep through the nights but woke up with the comforter pushed down below my knees.  The temps have been in the upper 60s in the house as fall is setting in, which typically would mean we both have the comforter on through the night. I will say it does have a decent weighted feeling to it as you are under it, and I’m sure some, if not a majority of others, will find this comforter perfect for their needs.  For us it was just too hot compared to our existing comforter.  For comparison/reference, this was meant to replace our current comforter which is one of the discontinued Sheex brand.For those curious about the customer service or reading other reviews about them, I contacted them about a return and even though it was a weekend I received a response back within a couple hours.  They’ve been simply amazing to deal with as a buyer, delivering much earlier than estimated, answering so promptly regarding a return, and refunding me in full while also providing an amazing solution to the issue of returning the product.  AMAZING customer service from this seller!  Though my rating on the product reflects our dissatisfaction with it, I provided a five star feedback for the seller and can highly recommend them to anyone looking to purchase from them.","Nice comforter, but just too hot for us.",3,,R2DMOH75CIDAV1,USA,2020,summer,Neutral,North-America,True
43,2019-05-11,10,"Beware buying this comforter. Pros:  warm and soft and heavy/thick. Con:  like so many others here, the seemingly small, white fill threads come out through the outer cover. If you pull one, it becomes a full tuft of stuffing. It’s better to cut, but it will continue to come through. Even after washing in high temp water and a commercial dryer, the outer fabric just won’t tighten to keep the stuffing in!  Because I waited so long, I can only gift them (I bought two) to a charity. I should have listened to all who reported the same problem.",Beware,1,,R2UDUQRAI9KA91,USA,2019,spring,Negative,North-America,True
44,2015-08-28,75,"This comforter was perfect for my son's college dorm room.  I was nervous about buying it because a few of the reviewers said it wasn't as long as advertised.  When it arrived, I made a point of measuring, and it was exactly the length described in the product description.  It fit perfectly on his bed, and is really nice and soft. The color was exactly as pictured, and my son told me that it doesn't cause him to sweat at night, which I was really worried about since he gets very hot when he sleeps.","Nice Quality, Great Value",5,,R1PKYVDWK0WD43,USA,2015,summer,Positive,North-America,True
45,2019-01-15,5,"Nautica pajamas are sueded polyester. (

here

  ).  I took a chance on ""double brushed"" for a simiar feel.  It's not a synthetic velvet feel.One of my younger brothers HAD to have black for his new bed because covering his eyes in his mind is more effective than installing Black Out Blinds on his windows.  Hmmm+ unlike feathers nothing pokes out from the material to jab me+ this is black as opposed to not so black that other black blankets fail to be+ it is true to size (XL twin)+ withstands washing in warm and drying on low (sensor)* it's not as good as blocking all the light from the room especially for someone who sleeps until noon- it's not as ultra soft as I would like:: Will be updated in a few weeks after a field test.update March 2020By Jan 2020 he had lost it in his room.  Up until then he used it in bed, wore it as a cloak on cold mornings, lounged with it in the living room.  It's brother approved.",double brushed isn't sueded,4,,R2QDZ205K6GG7W,USA,2019,winter,Positive,North-America,True
46,2016-06-26,40,"Fit my college dorm bed perfectly. This was so comfortable to sleep with! When it was over 100 degrees outside, this didn't keep me hot and then when it was super cold, it kept me warm! Would definitely recommend.",Fit my twin XL perfectly,5,,R20G1LSA0VVYYB,USA,2016,summer,Positive,North-America,True
47,2020-04-21,3,I originally bought a queen size for my son. I loved it so much that I bought one for myself in oversized king. Not a lot of color options and I really wanted the Aqua one but it was sold out so I went with the light grey. I loved it so much that I bought a third one in the same color as a backup. I haven’t found a comforter that I absolutely love in years and I didn’t want in a few years to not be able to buy this one again so I just bought a backup for myself. It’s not super light weight but I like heavier blankets. Not saying it’s heavy either. To me it’s perfect!,Love this,5,,R2N3J4WF2RIM5X,USA,2020,spring,Positive,North-America,True
